C++ doc,url
tensorflow::ops::RefNextIteration,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-next-iteration.html
tensorflow::ops::RefSelect,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-select.html
tensorflow::ops::RefSwitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ref-switch.html
tensorflow::ops::Switch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/switch.html
tensorflow::ClientSession,https://www.tensorflow.org/api_docs/cc/class/tensorflow/client-session.html
tensorflow::Input,https://www.tensorflow.org/api_docs/cc/class/tensorflow/input.html
tensorflow::InputList,https://www.tensorflow.org/api_docs/cc/class/tensorflow/input-list.html
tensorflow::Operation,https://www.tensorflow.org/api_docs/cc/class/tensorflow/operation.html
tensorflow::Output,https://www.tensorflow.org/api_docs/cc/class/tensorflow/output.html
tensorflow::Scope,https://www.tensorflow.org/api_docs/cc/class/tensorflow/scope.html
tensorflow::Status,https://www.tensorflow.org/api_docs/cc/class/tensorflow/status.html
tensorflow::Tensor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/tensor.html
tensorflow::ops::AccumulatorApplyGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-apply-gradient.html
tensorflow::ops::AccumulatorNumAccumulated,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-num-accumulated.html
tensorflow::ops::AccumulatorSetGlobalStep,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-set-global-step.html
tensorflow::ops::AccumulatorTakeGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/accumulator-take-gradient.html
tensorflow::ops::Barrier,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier.html
tensorflow::ops::BarrierClose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-close.html
tensorflow::ops::BarrierIncompleteSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-incomplete-size.html
tensorflow::ops::BarrierInsertMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-insert-many.html
tensorflow::ops::BarrierReadySize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-ready-size.html
tensorflow::ops::BarrierTakeMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/barrier-take-many.html
tensorflow::ops::ConditionalAccumulator,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/conditional-accumulator.html
tensorflow::ops::DeleteSessionTensor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/delete-session-tensor.html
tensorflow::ops::DynamicPartition,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dynamic-partition.html
tensorflow::ops::DynamicStitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/dynamic-stitch.html
tensorflow::ops::FIFOQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/f-i-f-o-queue.html
tensorflow::ops::GetSessionHandle,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/get-session-handle.html
tensorflow::ops::GetSessionHandleV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/get-session-handle-v2.html
tensorflow::ops::GetSessionTensor,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/get-session-tensor.html
tensorflow::ops::MapClear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-clear.html
tensorflow::ops::MapIncompleteSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-incomplete-size.html
tensorflow::ops::MapPeek,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-peek.html
tensorflow::ops::MapSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-size.html
tensorflow::ops::MapStage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-stage.html
tensorflow::ops::MapUnstage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-unstage.html
tensorflow::ops::MapUnstageNoKey,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/map-unstage-no-key.html
tensorflow::ops::OrderedMapClear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-clear.html
tensorflow::ops::OrderedMapIncompleteSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-incomplete-size.html
tensorflow::ops::OrderedMapPeek,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-peek.html
tensorflow::ops::OrderedMapSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-size.html
tensorflow::ops::OrderedMapStage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-stage.html
tensorflow::ops::OrderedMapUnstage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-unstage.html
tensorflow::ops::OrderedMapUnstageNoKey,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/ordered-map-unstage-no-key.html
tensorflow::ops::PaddingFIFOQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/padding-f-i-f-o-queue.html
tensorflow::ops::ParallelDynamicStitch,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/parallel-dynamic-stitch.html
tensorflow::ops::PriorityQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/priority-queue.html
tensorflow::ops::QueueClose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-close.html
tensorflow::ops::QueueDequeue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-dequeue.html
tensorflow::ops::QueueDequeueMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-dequeue-many.html
tensorflow::ops::QueueDequeueUpTo,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-dequeue-up-to.html
tensorflow::ops::QueueEnqueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-enqueue.html
tensorflow::ops::QueueEnqueueMany,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-enqueue-many.html
tensorflow::ops::QueueIsClosed,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-is-closed.html
tensorflow::ops::QueueIsClosedV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-is-closed-v2.html
tensorflow::ops::QueueSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/queue-size.html
tensorflow::ops::RandomShuffleQueue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/random-shuffle-queue.html
tensorflow::ops::RecordInput,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/record-input.html
tensorflow::ops::SparseAccumulatorApplyGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sparse-accumulator-apply-gradient.html
tensorflow::ops::SparseAccumulatorTakeGradient,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sparse-accumulator-take-gradient.html
tensorflow::ops::SparseConditionalAccumulator,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/sparse-conditional-accumulator.html
tensorflow::ops::Stage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage.html
tensorflow::ops::StageClear,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage-clear.html
tensorflow::ops::StagePeek,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage-peek.html
tensorflow::ops::StageSize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/stage-size.html
tensorflow::ops::TensorArray,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array.html
tensorflow::ops::TensorArrayClose,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-close.html
tensorflow::ops::TensorArrayConcat,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-concat.html
tensorflow::ops::TensorArrayGather,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-gather.html
tensorflow::ops::TensorArrayGrad,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-grad.html
tensorflow::ops::TensorArrayGradWithShape,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-grad-with-shape.html
tensorflow::ops::TensorArrayRead,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-read.html
tensorflow::ops::TensorArrayScatter,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-scatter.html
tensorflow::ops::TensorArraySize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-size.html
tensorflow::ops::TensorArraySplit,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-split.html
tensorflow::ops::TensorArrayWrite,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/tensor-array-write.html
tensorflow::ops::Unstage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/unstage.html
tensorflow::ops::AdjustContrast,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/adjust-contrast.html
tensorflow::ops::AdjustHue,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/adjust-hue.html
tensorflow::ops::AdjustSaturation,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/adjust-saturation.html
tensorflow::ops::CombinedNonMaxSuppression,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/combined-non-max-suppression.html
tensorflow::ops::CropAndResize,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/crop-and-resize.html
tensorflow::ops::CropAndResizeGradBoxes,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/crop-and-resize-grad-boxes.html
tensorflow::ops::CropAndResizeGradImage,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/crop-and-resize-grad-image.html
tensorflow::ops::DecodeAndCropJpeg,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/decode-and-crop-jpeg.html
tensorflow::ops::DecodeBmp,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/decode-bmp.html
tensorflow::ops::DecodeGif,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/decode-gif.html
tensorflow::ops::DecodeJpeg,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/decode-jpeg.html
tensorflow::ops::DecodePng,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/decode-png.html
tensorflow::ops::DrawBoundingBoxes,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/draw-bounding-boxes.html
tensorflow::ops::DrawBoundingBoxesV2,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/draw-bounding-boxes-v2.html
tensorflow::ops::EncodeJpeg,https://www.tensorflow.org/api_docs/cc/class/tensorflow/ops/encode-jpeg.html
