IDX,API,URL,V1,NOTE,VALID_MAP
92,reduce_max,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_max,Y,,
92,reduce_max,https://www.tensorflow.org/api_docs/python/tf/math/reduce_max,,,
92,reduce_max,https://www.tensorflow.org/api_docs/python/tf/sparse/reduce_max,,,valid
93,reduce_mean,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_mean,Y,,
93,reduce_mean,https://www.tensorflow.org/api_docs/python/tf/math/reduce_mean,,,valid
94,reduce_min,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_min,Y,,
94,reduce_min,https://www.tensorflow.org/api_docs/python/tf/math/reduce_min,,,valid
95,reduce_prod,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_prod,Y,,
95,reduce_prod,https://www.tensorflow.org/api_docs/python/tf/math/reduce_prod,,,valid
96,reduce_sum,https://www.tensorflow.org/api_docs/python/tf/compat/v1/reduce_sum,Y,,
96,reduce_sum,https://www.tensorflow.org/api_docs/python/tf/math/reduce_sum,,,
96,reduce_sum,https://www.tensorflow.org/api_docs/python/tf/sparse/reduce_sum,,,valid
97,scalar_mul,https://www.tensorflow.org/api_docs/python/tf/compat/v1/scalar_mul,Y,,
97,scalar_mul,https://www.tensorflow.org/api_docs/python/tf/math/scalar_mul,,,valid
98,serialize_many_sparse,https://www.tensorflow.org/api_docs/python/tf/compat/v1/serialize_many_sparse,Y,,
98,serialize_many_sparse,https://www.tensorflow.org/api_docs/python/tf/io/serialize_many_sparse,,,valid
99,serialize_sparse,https://www.tensorflow.org/api_docs/python/tf/compat/v1/serialize_sparse,Y,,
99,serialize_sparse,https://www.tensorflow.org/api_docs/python/tf/io/serialize_sparse,,,valid
100,space_to_depth,https://www.tensorflow.org/api_docs/python/tf/compat/v1/space_to_depth,Y,,
100,space_to_depth,https://www.tensorflow.org/api_docs/python/tf/nn/space_to_depth,,,valid
101,substr,https://www.tensorflow.org/api_docs/python/tf/compat/v1/substr,Y,,
101,substr,https://www.tensorflow.org/api_docs/python/tf/compat/v1/strings/substr,Y,,
101,substr,https://www.tensorflow.org/api_docs/python/tf/strings/substr,,,valid
102,Dataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/Dataset,Y,deprecated,
102,Dataset,https://www.tensorflow.org/api_docs/python/tf/data/Dataset,,,
103,FixedLengthRecordDataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/FixedLengthRecordDataset,Y,deprecated,
103,FixedLengthRecordDataset,https://www.tensorflow.org/api_docs/python/tf/data/FixedLengthRecordDataset,,,
104,Iterator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/Iterator,Y,deprecated,
104,Iterator,https://www.tensorflow.org/api_docs/python/tf/keras/preprocessing/image/Iterator,,,
105,TextLineDataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/TextLineDataset,Y,deprecated,
105,TextLineDataset,https://www.tensorflow.org/api_docs/python/tf/data/TextLineDataset,,,
106,TFRecordDataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/TFRecordDataset,Y,deprecated,
106,TFRecordDataset,https://www.tensorflow.org/api_docs/python/tf/data/TFRecordDataset,,,
107,choose_from_datasets,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/choose_from_datasets,Y,,
107,choose_from_datasets,https://www.tensorflow.org/api_docs/python/tf/data/experimental/choose_from_datasets,,,valid
108,Counter,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/Counter,Y,,
108,Counter,https://www.tensorflow.org/api_docs/python/tf/data/experimental/Counter,,,valid
109,CsvDataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/CsvDataset,Y,deprecated,
109,CsvDataset,https://www.tensorflow.org/api_docs/python/tf/data/experimental/CsvDataset,,,
110,make_batched_features_dataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/make_batched_features_dataset,Y,,
110,make_batched_features_dataset,https://www.tensorflow.org/api_docs/python/tf/data/experimental/make_batched_features_dataset,,,valid
111,make_csv_dataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/make_csv_dataset,Y,,
111,make_csv_dataset,https://www.tensorflow.org/api_docs/python/tf/data/experimental/make_csv_dataset,,,valid
112,RandomDataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/RandomDataset,Y,deprecated,
112,RandomDataset,https://www.tensorflow.org/api_docs/python/tf/data/experimental/RandomDataset,,,
113,sample_from_datasets,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/sample_from_datasets,Y,,
113,sample_from_datasets,https://www.tensorflow.org/api_docs/python/tf/data/experimental/sample_from_datasets,,,valid
114,SqlDataset,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/SqlDataset,Y,deprecated,
114,SqlDataset,https://www.tensorflow.org/api_docs/python/tf/data/experimental/SqlDataset,,,
115,StatsAggregator,https://www.tensorflow.org/api_docs/python/tf/compat/v1/data/experimental/StatsAggregator,Y,,
