class,Type,name,input,link,source_code
,function,torch.nn.functional.sigmoid,input,https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.sigmoid,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#sigmoid
,function,torch.nn.functional.batch_norm,"input,running_mean,running_var,weight=None,bias=None,training=False,momentum=0.1,eps=1e-05",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.batch_norm,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#batch_norm
,function,torch.nn.functional.instance_norm,"input,running_mean=None,running_var=None,weight=None,bias=None,use_input_stats=True,momentum=0.1,eps=1e-05",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.instance_norm,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#instance_norm
,function,torch.nn.functional.layer_norm,"input,normalized_shape,weight=None,bias=None,eps=1e-05",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.layer_norm,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#layer_norm
,function,torch.nn.functional.local_response_norm,"input,size,alpha=0.0001,beta=0.75,k=1.0",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.local_response_norm,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#local_response_norm
,function,torch.nn.functional.normalize,"input,p=2,dim=1,eps=1e-12,out=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.normalize,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#normalize
,function,torch.nn.functional.linear,"input,weight,bias=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.linear,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#linear
,function,torch.nn.functional.bilinear,"input1,input2,weight,bias=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.bilinear,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#bilinear
,function,torch.nn.functional.dropout,"input,p=0.5,training=True,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.dropout,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#dropout
,function,torch.nn.functional.alpha_dropout,"input,p=0.5,training=False,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.alpha_dropout,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#alpha_dropout
,function,torch.nn.functional.dropout2d,"input,p=0.5,training=True,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.dropout2d,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#dropout2d
,function,torch.nn.functional.dropout3d,"input,p=0.5,training=True,inplace=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.dropout3d,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#dropout3d
,function,torch.nn.functional.embedding,"input,weight,padding_idx=None,max_norm=None,norm_type=2.0,scale_grad_by_freq=False,sparse=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.embedding,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#embedding
,function,torch.nn.functional.embedding_bag,"input,weight,offsets=None,max_norm=None,norm_type=2,scale_grad_by_freq=False,mode='mean',sparse=False,per_sample_weights=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.embedding_bag,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#embedding_bag
,function,torch.nn.functional.one_hot,"tensor,num_classes=-1",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.one_hot,
,function,torch.nn.functional.pairwise_distance,"x1,x2,p=2.0,eps=1e-06,keepdim=False",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.pairwise_distance,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#pairwise_distance
,function,torch.nn.functional.cosine_similarity,"x1,x2,dim=1,eps=1e-8",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.cosine_similarity,
,function,torch.nn.functional.pdist,"input,p=2",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.pdist,
,function,torch.nn.functional.binary_cross_entropy,"input,target,weight=None,size_average=None,reduce=None,reduction='mean'",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.binary_cross_entropy,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#binary_cross_entropy
,function,torch.nn.functional.binary_cross_entropy_with_logits,"input,target,weight=None,size_average=None,reduce=None,reduction='mean',pos_weight=None",https://pytorch.org/docs/stable/nn.functional.html#torch.nn.functional.binary_cross_entropy_with_logits,https://pytorch.org/docs/stable/_modules/torch/nn/functional.html#binary_cross_entropy_with_logits
