API,Type,Count,Input,Unnamed: 4
mxnet.ndarray.contrib.arange_like,Abort,4,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.contrib.arange_like.yaml_workdir/Abort_script_record,
mxnet.ndarray.cosh,timeout,91,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.cosh.yaml_workdir/timeout_script_record,
mxnet.ndarray.cos,timeout,103,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.cos.yaml_workdir/timeout_script_record,
mxnet.ndarray.cumsum,Abort,41,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.cumsum.yaml_workdir/Abort_script_record,
mxnet.ndarray.cumsum,timeout,44,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.cumsum.yaml_workdir/timeout_script_record,
mxnet.ndarray.degrees,timeout,95,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.degrees.yaml_workdir/timeout_script_record,
mxnet.ndarray.divide,timeout,144,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.divide.yaml_workdir/timeout_script_record,
mxnet.ndarray.dropout,Abort,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.dropout.yaml_workdir/Abort_script_record,
mxnet.ndarray.dropout,timeout,2,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.dropout.yaml_workdir/timeout_script_record,
mxnet.ndarray.empty,timeout,5,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.empty.yaml_workdir/timeout_script_record,
mxnet.ndarray.equal,timeout,136,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.equal.yaml_workdir/timeout_script_record,
mxnet.ndarray.erfinv,timeout,114,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.erfinv.yaml_workdir/timeout_script_record,
mxnet.ndarray.erf,timeout,96,/local1/xdanning/docter/expr/mxnet/MX26_c890544_baseline/workdir/expect_ok_no_constr/mxnet.ndarray.erf.yaml_workdir/timeout_script_record,
